date,country_code,country_name,SLT99_FTOT_TREAS,SLT399_FTOT_TREAS_VALCHG,SLT399_FTOT_TREAS_ESTTRANS,SLT99_FTOT_AGCY,SLT399_FTOT_AGCY_VALCHG,SLT399_FTOT_AGCY_ESTTRANS,SLT99_FTOT_CORP,SLT399_FTOT_CORP_VALCHG,SLT399_FTOT_CORP_ESTTRANS,SLT99_FTOT_STK,SLT399_FTOT_STK_VALCHG,SLT399_FTOT_STK_ESTTRANS,SLT99_US_FOR_BOND,SLT399_US_FOR_BOND_VALCHG,SLT399_US_FOR_BOND_ESTTRANS,SLT99_US_FOR_STK,SLT399_US_FOR_STK_VALCHG,SLT399_US_FOR_STK_ESTTRANS
2012-01,10189,Austria,2492,4,-13,389,1,-8,2113,35,21,6049,263,61,5720,90,277,6607,631,-152
2012-01,10251,Belgium,122748,179,-4429,6225,18,-656,311361,5461,-11672,21777,926,681,5560,186,-1673,27886,1063,-897
2012-01,10405,Cyprus,82,0,-1,4,0,0,50,1,-5,401,16,29,187,4,4,850,42,-17
2012-01,10502,Denmark,11546,17,-724,1060,3,-47,23157,351,2413,34793,1464,1433,7799,121,-470,34198,1442,39
2012-01,10707,Finland,2727,4,87,250,1,-32,3489,61,-123,11298,485,233,4488,71,335,18994,1275,118
2012-01,10804,France,33661,46,1263,1751,4,47,55833,974,-1801,122653,5285,2197,95391,1564,-1350,220626,11586,-1344
2012-01,11002,Germany,54764,78,-835,4008,10,21,76795,1319,-1247,81456,3513,1382,87182,1147,-2483,192699,17909,-472
2012-01,11207,Greece,1083,2,-449,355,1,-4,3285,54,67,2725,116,73,840,-44,-243,3491,767,-385
2012-01,11304,Iceland,412,1,0,55,0,-24,0,0,0,326,14,4,1171,18,-13,161,23,-19
2012-01,11401,Ireland,53912,77,-697,31379,86,-1654,121201,1998,3023,104767,4582,335,34368,848,-747,113301,-869,7889
2012-01,11509,Italy,22101,31,53,2529,7,-25,3351,58,-51,15084,653,196,21796,1089,-1115,45421,2660,960
2012-01,11703,Luxembourg,104846,147,736,26155,64,1352,358850,5847,12943,287682,12580,964,65451,1173,-1420,30663,1403,-1482
2012-01,11819,Malta,364,0,60,55,0,11,589,11,-42,285,13,-11,98,2,-3,39,2,2
2012-01,12009,Monaco,71,0,1,247,1,-5,45,1,-1,1354,82,-509,0,0,0,93,2,79
2012-01,12106,Netherlands,23326,29,3026,13666,30,1959,54761,934,-481,150617,6476,457,109894,2071,-4432,138252,4147,3142
2012-01,12203,Norway,57044,80,599,1646,7,-1238,18245,330,-1269,120200,5248,591,28536,614,-1581,22190,753,-315
2012-01,12319,Portugal,2280,3,-92,56,0,-3,406,7,-9,2618,114,23,723,-48,84,3418,-125,-11
2012-01,12505,Spain,22268,32,-365,1207,3,-9,3589,59,110,9321,414,-118,21911,539,-1259,54266,81,872
2012-01,12602,Sweden,28592,40,111,1132,3,-206,12014,213,-564,65910,2846,1044,33884,512,-809,57447,3154,-102
2012-01,12688,Switzerland,127685,174,4499,16132,42,-49,108355,1799,1923,211197,9213,1214,14797,295,-860,293520,7202,3032
2012-01,12807,Turkey,13767,20,-351,2,0,0,116,2,1,206,8,21,11722,374,-576,20166,3187,-163
2012-01,13005,United Kingdom,96747,130,4596,14427,38,-216,408085,6907,-534,462965,20217,2065,279828,5057,-15848,662920,22028,584
2012-01,13006,Guernsey,1710,2,78,3196,10,-537,5253,92,-166,20252,900,-267,964,16,19,18755,647,-689
2012-01,13007,Jersey,803,1,-160,510,1,85,13184,231,-467,11127,489,-21,9725,385,-12812,35275,1172,57
2012-01,13008,Isle of Man,847,1,22,2,0,-4,500,8,6,1935,84,25,1092,19,5,1829,63,-59
2012-01,13218,Serbia,1665,2,-3,0,0,0,0,0,0,33,0,26,490,6,39,21,2,8
2012-01,14214,Croatia,231,0,-20,0,0,0,9,0,0,130,6,1,1092,17,-69,97,14,-12
2012-01,14338,Slovenia,228,0,70,37,0,25,131,2,-7,672,29,5,30,1,-2,156,8,-7
2012-01,15202,Bulgaria,0,0,0,0,0,0,5,0,-3,22,1,1,105,1,-1,91,13,-9
2012-01,15288,Czech Republic,5356,7,190,0,0,0,440,7,-3,1389,61,1,441,14,-33,4017,152,84
2012-01,15504,Hungary,342,1,-130,56,0,16,127,2,2,803,32,76,7458,390,362,2695,506,-92
2012-01,15601,Latvia,238,0,12,414,1,-29,72,1,-7,100,5,-12,155,2,11,6,1,0
2012-01,15709,Lithuania,0,0,0,0,0,0,2,0,0,38,2,0,1925,29,-44,10,2,-3
2012-01,15768,Poland,25230,36,-375,340,0,185,134,2,5,3049,102,720,18083,967,-255,7325,1031,-529
2012-01,15806,Romania,3740,5,212,26,0,0,205,3,-1,62,3,3,40,1,-8,536,58,80
2012-01,16101,Russia,140422,204,-4129,550,1,67,900,15,28,334,14,21,8375,231,-21,48548,6125,1071
2012-01,16403,Ukraine,6542,9,14,74,0,0,12,0,0,124,3,66,4465,45,1418,261,33,1
2012-01,16543,Kazakhstan,7850,11,-46,0,0,0,194,3,10,2471,106,56,2466,37,-41,434,58,-21
2012-01,16713,Euro Area Countries,447294,633,-1573,88096,226,995,995855,16822,719,817591,35474,6493,453745,8729,-14065,856727,40585,8211
2012-01,19992,Total Europe,981490,1380,2900,128069,335,-941,1589840,26867,470,1757233,76411,13004,889092,17856,-45727,2068066,88464,11004
2012-01,29998,Canada,37733,49,2936,3563,9,-63,100399,1705,-467,441267,19009,7869,343826,6060,4987,393920,21087,6327
2012-01,30104,Argentina,1625,2,2,103,0,-5,1655,28,12,4406,185,189,8335,550,-435,3637,448,-196
2012-01,30155,Barbados,1976,3,-359,671,2,-82,3843,65,-29,1124,50,-25,1551,28,-36,54,4,-10
2012-01,30309,Brazil,226397,318,990,1091,3,-27,646,11,-24,1605,70,13,50316,2053,-3141,176181,22856,867
2012-01,30406,Chile,19002,28,-611,223,0,71,1904,26,346,15771,691,20,11659,201,-136,11869,780,276
2012-01,30503,Colombia,20585,26,2440,2725,6,489,1581,31,-227,6498,259,605,10885,242,55,4798,403,63
2012-01,30708,Cuba,0,0,0,0,0,0,0,0,0,265,0,265,2,0,0,118,0,118
2012-01,30805,Dominican Republic,630,1,0,22,0,-5,142,2,-4,249,11,5,763,13,-7,0,0,0
2012-01,31003,Ecuador,286,0,127,166,1,-101,317,6,-34,269,13,-27,226,1,-9,1,0,0
2012-01,31089,El Salvador,332,0,14,281,1,29,119,2,2,119,6,-12,805,12,7,0,0,0
2012-01,31607,Jamaica,11,0,0,340,1,-39,67,1,4,93,4,-4,174,4,-29,0,0,-7
2012-01,31704,Mexico,29297,40,813,40052,101,1364,9484,159,99,21591,882,1492,55056,974,3573,62495,4368,-987
2012-01,31887,Panama,677,1,-30,1573,4,-60,3781,66,-145,7647,334,36,3992,-20,-178,15472,-841,380
2012-01,32204,Peru,8919,12,339,1963,6,-408,2230,37,67,4151,174,187,5351,-4,-277,3110,284,69
2012-01,32409,Trinidad and Tobago,3745,5,143,943,3,-26,1153,20,-20,1334,58,8,1187,22,-64,3,1,-3
2012-01,32603,Uruguay,6727,9,426,276,1,-36,859,15,-18,1698,78,-79,2086,-5,-14,1,0,0
2012-01,32719,Venezuela,4185,6,73,353,1,-19,1683,29,-14,2200,97,-20,9267,542,190,178,20,-4
2012-01,34401,Total Caribbean,132459,184,2115,89640,243,-3905,502424,8807,-18577,692912,30882,-10689,310919,3501,-8447,769024,57601,-29234
2012-01,35254,Aruba,111,0,-6,357,1,-10,35,1,-2,447,19,4,549,10,-8,0,0,0
2012-01,35319,Bahamas,3696,5,122,1325,3,94,4180,69,96,18464,929,-2712,1215,17,14,5205,267,-90
2012-01,35602,Bermuda,55533,74,3246,43790,114,-109,100545,1719,-1126,63834,2958,-3323,26068,461,-1180,141724,9181,-4821
2012-01,35718,Belize,7,0,-2,6,0,-1,63,1,-4,239,11,-4,230,3,8,2,0,-2
2012-01,35807,British Virgin Islands,13051,21,-1518,3555,4,2043,21472,367,-241,81063,3508,1111,4978,98,-519,53333,3407,-1102
2012-01,36137,Cayman Islands,52132,73,475,37866,113,-5739,366608,6495,-17606,505520,22475,-6736,270718,2547,-6326,500155,32261,-15694
2012-01,36188,Curacao,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012-01,37206,Netherlands Antilles,1160,2,31,204,1,-12,2301,33,361,2567,112,13,3451,61,-28,68129,6357,-1527
2012-01,37508,Saint Lucia,5,0,0,2,0,0,32,0,3,40,2,4,39,1,-1,2,0,0
2012-01,37818,Turks AND Caicos Islands,36,0,0,45,0,-2,67,1,-11,388,16,28,201,4,-13,0,0,0
2012-01,39942,Total Latin America,323459,450,4246,49244,125,1278,25165,425,12,67429,2865,2125,158398,4606,-428,277810,28325,486
