start,eED1,eTFUT02,eTFUT10,eSP500FUT
1991-01-08 11:30,0.03183,0.04994,0.00385,0.45566
1991-01-22 10:00,-0.00318,0.01409,0.01281,0.20366
1991-02-01 09:15,-0.01529,-0.02619,-0.0141,0.18513
1991-02-01 11:30,0.01406,0.0231,0.0141,-0.13546
1991-02-07 11:30,0,0,0,0
1991-02-20 09:45,0.00672,0.00441,-0.00284,0.50989
1991-03-06 09:30,-0.01538,-0.03485,-0.01334,-0.66933
1991-03-08 11:30,0.03039,0.05628,0.00968,0.07957
1991-03-13 10:00,-0.01151,-0.01497,-0.00022,-0.15524
1991-03-27 11:30,-0.00283,-8e-05,-0.0067,0.1796
1991-04-23 10:00,-0.00657,-0.01627,0.00157,-0.24621
1991-04-30 09:30,0.06233,0.09701,0.01235,0.27928
1991-04-30 10:00,-0.00546,-0.00904,-0.00612,0.64598
1991-05-15 11:30,-0.0019,-0.01171,-0.00605,-0.08327
1991-07-05 11:30,0.0061,0.01772,0.01469,-0.0143
1991-07-16 10:00,0.00348,0.01017,0.00602,0.08449
1991-08-06 11:30,0.02706,0.0667,0.02927,-0.2719
1991-08-21 11:30,-6e-05,-0.00244,-0.00258,0.00339
1991-09-13 09:10,0.0143,0.03557,0.01123,-0.11725
1991-09-13 11:30,-1e-05,0.00029,-0.00084,0.02296
1991-10-02 11:30,-0.00143,-0.00414,-0.00224,-0.01371
1991-10-30 11:30,-0.00085,0.00141,0.00047,-0.02895
1991-11-06 08:45,0.0444,0.08996,0.0256,-0.26921
1991-11-06 11:30,-0.00138,0.00242,0.00227,-0.15328
1991-12-06 11:30,-0.00274,-0.00847,-0.00423,0.04413
1991-12-18 09:00,-0.00622,-0.00947,-0.00789,0.12516
1991-12-20 11:30,0.00373,0.00784,0.0004,4e-05
1992-01-29 10:00,-0.02422,-0.08359,-0.0493,0.2917
1992-02-06 11:30,0.00685,0.01545,0.00347,-0.03276
1992-02-11 09:45,-0.02161,-0.05551,-0.03626,0.26695
1992-02-25 10:00,0.01842,0.04618,0.02666,-0.14356
1992-03-13 00:00,-0.02021,-0.04384,-0.02135,0.38058
1992-04-01 11:30,0.00114,0.00413,0.0027,-0.03105
1992-04-09 11:30,0.00293,0.02877,0.02503,-0.19893
1992-05-20 11:30,0.00255,-0.00454,-0.00529,0.05691
1992-06-16 09:30,0.02083,0.054,0.03241,0.04868
1992-07-02 09:15,-0.0034,-0.00833,-0.00739,-0.01745
1992-08-19 11:30,0.00109,0.00368,-0.00485,-0.04455
1992-08-28 10:00,0.00628,0.01324,0.00462,-0.08567
1992-09-04 11:30,0.00083,-0.0069,-0.00549,-0.01372
1992-10-07 11:30,0.00588,0.00325,-0.00063,-0.07763
1992-10-14 02:00,-0.01034,-0.03074,-0.02257,0.48416
1992-11-18 11:30,0.00379,0.01366,0.00722,0.12558
1992-12-23 11:30,0.00119,0.00076,0.00012,0.13042
1993-01-27 10:00,0.02014,0.04612,0.02813,-0.16737
1993-01-28 14:39,0.00261,-0.01537,-0.01612,0.13269
1993-02-04 11:30,-0.00094,-0.00382,-0.00266,-0.02253
1993-02-23 10:00,0.01052,0.01642,0.02061,0.11024
1993-03-24 11:30,0.0032,0.01073,0.00673,-0.05502
1993-05-19 11:30,-0.00353,-0.01491,-0.00824,0.10545
1993-05-25 13:40,-0.00862,-0.01682,-0.00597,-0.10675
1993-07-08 11:30,-0.00639,-0.02112,-0.01307,0.04365
1993-07-20 09:45,-0.00196,-0.02425,-0.01731,0.2298
1993-07-22 10:01,-0.00439,-0.01426,-0.01595,-0.05987
1993-08-18 11:30,-0.00135,-0.00245,-0.00118,-0.01723
1993-08-20 10:00,0.01134,0.03696,0.02315,0.0986
1993-09-22 11:30,-0.00564,-0.01424,-0.00823,-0.08082
1993-11-17 11:30,0.01018,0.02912,0.01027,0.00544
1993-11-17 22:32,0.00055,0.00409,0.00353,-0.08714
1993-12-22 11:30,-0.00022,-0.0004,-0.00021,0.01721
1994-01-31 10:30,0.01452,0.0337,0.02189,0.19481
1994-02-04 11:05,-0.03198,-0.06892,-0.03299,-0.3082
