start,u1,u2,u3,u4
1991-01-08 11:30,-4.76122,1.10061,-3.99212,-0.17721
1991-01-22 10:00,1.70261,-0.10709,-1.19843,0.32748
1991-02-01 09:15,-2.06181,0.51215,0.96579,-0.90513
1991-02-01 11:30,-2.73635,0.34028,-0.55168,-0.09938
1991-02-07 11:30,0,0,0,0
1991-02-20 09:45,-2.6468,0.79579,-0.86354,-0.68085
1991-03-06 09:30,1.87403,-1.37631,2.16019,1.20847
1991-03-08 11:30,-2.5825,0.96605,-2.37533,0.02746
1991-03-13 10:00,-2.47139,-0.07685,0.05114,-0.49867
1991-03-27 11:30,-0.36345,0.01677,-0.65578,0.25868
1991-04-23 10:00,1.00451,-0.18994,1.62863,-0.14164
1991-04-30 09:30,-6.8959,1.87219,-5.53717,0.49884
1991-04-30 10:00,-1.11337,1.40027,-0.47344,-1.15863
1991-05-15 11:30,-0.11468,-0.08144,0.69507,-0.15042
1991-07-05 11:30,0.5011,0.02537,0.9654,0.12954
1991-07-16 10:00,0.99973,0.01138,-0.43758,0.12132
1991-08-06 11:30,-5.27604,0.73197,-2.01171,-0.02176
1991-08-21 11:30,-0.03845,0.10425,-0.18812,0.07474
1991-09-13 09:10,-0.57701,0.76891,-1.15892,0.02413
1991-09-13 11:30,-0.17733,0.03274,0.35667,0.06925
1991-10-02 11:30,-0.0641,0.01954,0.27207,-0.08844
1991-10-30 11:30,-0.64609,0.36216,-0.24928,0.08164
1991-11-06 08:45,-3.3875,1.64506,-3.36359,-0.43305
1991-11-06 11:30,0.00373,-0.10654,0.58528,-0.2862
1991-12-06 11:30,0.26003,0.09099,0.11448,0.21079
1991-12-18 09:00,3.01669,0.49082,-1.11888,0.53878
1991-12-20 11:30,0.43937,0.29717,-0.78737,0.19936
1992-01-29 10:00,0.5376,0.85788,-0.18114,1.70176
1992-02-06 11:30,-0.52399,0.46402,-0.83296,0.1016
1992-02-11 09:45,1.75635,0.69201,-0.80047,0.77299
1992-02-25 10:00,-0.90104,-0.47813,-0.44279,-0.99766
1992-03-13 00:00,0.1514,-1.115,1.50428,0.13881
1992-04-01 11:30,0.46159,0.04493,-0.10177,0.00276
1992-04-09 11:30,-9.05964,-1.07569,1.34697,-1.6285
1992-05-20 11:30,0.81089,0.54197,-1.32425,0.43622
1992-06-16 09:30,-0.7757,-0.55724,0.27841,-0.71555
1992-07-02 09:15,-0.57363,0.38736,0.63933,0.21465
1992-08-19 11:30,-0.63762,0.55218,-0.80255,0.20341
1992-08-28 10:00,-0.09237,-0.19146,1.22428,0.52582
1992-09-04 11:30,-1.15419,0.09331,0.70465,-0.13823
1992-10-07 11:30,-0.17522,0.61486,-0.90083,0.17396
1992-10-14 02:00,2.90651,0.52859,-0.04008,0.90272
1992-11-18 11:30,-0.21045,0.03481,-0.3711,0.66263
1992-12-23 11:30,-0.48572,0.21987,-0.07688,-0.18835
1993-01-27 10:00,-0.86464,-0.55336,0.57777,-0.75063
1993-01-28 14:39,-1.50344,-0.13216,-0.67176,-0.02103
1993-02-04 11:30,-0.05775,0.03443,0.25114,-0.10756
1993-02-23 10:00,0.50125,-0.93423,-2.76435,-0.66438
1993-03-24 11:30,-0.20775,0.35198,0.00812,-0.0551
1993-05-19 11:30,0.38673,-0.51299,-0.19529,0.03576
1993-05-25 13:40,1.39287,-0.37145,0.36387,0.21203
1993-07-08 11:30,0.22257,-0.50337,0.11707,0.14406
