start,EventType,ED1,TFUT02,TFUT10,SP500FUT
1991-01-08 11:30,fomc,-0.12,-0.02449,-0.06304,0.48769
1991-01-22 10:00,testimony,0.03,0.00816,-0.01787,0.06014
1991-02-01 09:15,fomc,-0.04,-0.01138,0.01323,-0.4216
1991-02-01 11:30,fomc,-0.06,-0.013,-0.00883,0.24808
1991-02-07 11:30,fomc,0,0,0,0
1991-02-20 09:45,testimony,-0.06,-0.01139,-0.0132,-0.19066
1991-03-06 09:30,testimony,0.05,0.00491,0.03153,0.67323
1991-03-08 11:30,fomc,-0.06,0.0049,-0.02706,0.18428
1991-03-13 10:00,testimony,-0.06,-0.03595,-0.01349,0.14693
1991-03-27 11:30,fomc,-0.01,0,-0.00905,0.22335
1991-04-23 10:00,testimony,0.03,0.00817,0.02702,-0.27328
1991-04-30 09:30,fomc,-0.16,0,-0.06708,0.91519
1991-04-30 10:00,testimony,-0.02,0.01627,0.00446,-0.91519
1991-05-15 11:30,fomc,0,-0.00325,0.00901,-0.08057
1991-07-05 11:30,fomc,0.02,0.01639,0.02292,-0.10592
1991-07-16 10:00,testimony,0.02,0.00817,-0.00455,-0.05203
1991-08-06 11:30,fomc,-0.12,-0.02429,-0.03111,0.60759
1991-08-21 11:30,fomc,0,0.00483,0,0.01296
1991-09-13 09:10,fomc,-0.01,0.02097,-0.00433,-0.12814
1991-09-13 11:30,fomc,0,0.00484,0.00869,0.01291
1991-10-02 11:30,fomc,0,0,0.00429,-0.06377
1991-10-30 11:30,fomc,-0.01,0.01118,0.00427,0
1991-11-06 08:45,fomc,-0.08,0.00797,-0.03855,-0.11554
1991-11-06 11:30,fomc,0,-0.00797,0.00428,-0.14102
1991-12-06 11:30,fomc,0.01,0.01268,0.00841,0.01315
1991-12-18 09:00,testimony,0.07,0.05059,0.0042,-0.28635
1991-12-20 11:30,fomc,0.01,0.01574,-0.00414,-0.02585
1992-01-29 10:00,testimony,0.04,0.0869,0.04613,0.3724
1992-02-06 11:30,fomc,-0.01,0.01263,-0.00418,0
1992-02-11 09:45,speech,0.05,0.05835,0.01682,-0.10862
1992-02-25 10:00,testimony,-0.04,-0.05872,-0.03837,-0.0973
1992-03-13 00:00,speech,0,-0.0321,0.00436,0.38133
1992-04-01 11:30,fomc,0.01,0.0048,0,-0.07467
1992-04-09 11:30,fomc,-0.22,-0.1508,-0.04273,0.86548
1992-05-20 11:30,fomc,0.02,0.03151,-0.00419,-0.024
1992-06-16 09:30,testimony,-0.03,-0.04752,-0.02115,-0.01215
1992-07-02 09:15,fomc,0,0.0235,0.02473,-0.03629
1992-08-19 11:30,fomc,-0.01,0.01858,0,0.02379
1992-08-28 10:00,speech jackson hole,0.01,0.0155,0.02798,0.22948
1992-09-04 11:30,fomc,-0.02,-0.00311,0.0119,0
1992-10-07 11:30,fomc,0,0.02324,0,-0.07365
1992-10-14 02:00,speech,0.08,0.06992,0.03213,-0.20794
1992-11-18 11:30,fomc,0,0.01566,0.00407,0.35591
1992-12-23 11:30,fomc,-0.01,0,0,-0.1019
1993-01-27 10:00,testimony,-0.03,-0.04672,-0.0159,-0.04552
1993-01-28 14:39,testimony,-0.04,-0.02332,-0.01979,0.31916
1993-02-04 11:30,fomc,0,0,0.00394,-0.07802
1993-02-23 10:00,testimony,-0.03,-0.07725,-0.08781,0.25203
1993-03-24 11:30,fomc,0,0.01239,0.00772,-0.14413
1993-05-19 11:30,fomc,0,-0.02011,-0.01545,0.19366
1993-05-25 13:40,speech,0.03,0.0031,0.00386,0.0223
1993-07-08 11:30,fomc,0,-0.0155,-0.00759,0.23544
1993-07-20 09:45,testimony,0.02,0.04184,0.01131,0.3019
